9876543210|789|ХМАО|Таграс|Петров А.В.|123-456789|2020-06-17 15:14:43|2020-06-17 15:14:21|2020-06-17 15:13:09
Время;Расход (турбина), м3/мин;Объем (турбина), м3;Расход э/м, м3/мин;Объем э/м, м3;Давление 1, кПа;Давление 2, атм;Давление затруба, атм;Температура, C;Плотность, кг/м3;Концентрация НД1, %;Объем НД1, л;Концентрация НД2, %;Объем НД2, л;Концентрация ДШ, %;Масса ДШ, кг;Расход НД1, л/ч;Расход НД2, л/ч;Расход ДШ, кг/ч;Этап;Метка
17.06.2020 15:14:44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:45;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1535604209|Опрессовка 21|False;
17.06.2020 15:14:46;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:47;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:48;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:49;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:50;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:51;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:52;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:53;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:54;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1535604209|Опрессовка 21|True;915544923|Опрессовка 20|False;
17.06.2020 15:14:55;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:56;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:57;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:58;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:14:59;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:00;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:01;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:02;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:03;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;915544923|Опрессовка 20|True;549637217|Опрессовка 21|False;
17.06.2020 15:15:04;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:05;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:06;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:07;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:08;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:09;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:10;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:11;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:12;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:13;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:14;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:15;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:16;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:17;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:18;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:19;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:20;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:21;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:22;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:23;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:24;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:25;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:26;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:27;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:28;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:29;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:30;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;549637217|Опрессовка 21|True;1876297095|Опрессовка 20|False;
17.06.2020 15:15:31;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:32;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:33;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:34;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:35;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:36;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:37;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:38;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:39;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1876297095|Опрессовка 20|True;2060002227|Опрессовка 21|False;
17.06.2020 15:15:40;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:41;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:42;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:43;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:44;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:45;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:46;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:47;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:48;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:49;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:50;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:51;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;2060002227|Опрессовка 21|True;104277698|Опрессовка 20|False;
17.06.2020 15:15:52;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:53;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:54;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:55;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:56;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:57;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:58;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:15:59;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:00;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;104277698|Опрессовка 20|True;1726945086|Опрессовка 21|False;
17.06.2020 15:16:01;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:02;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:04;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:05;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1726945086|Опрессовка 21|True;1937220950|Опрессовка 20|False;
17.06.2020 15:16:06;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:07;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:08;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:09;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:10;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1937220950|Опрессовка 20|True;642266634|Опрессовка 21|False;
17.06.2020 15:16:11;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:12;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:13;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;642266634|Опрессовка 21|True;340002781|Опрессовка 20|False;
17.06.2020 15:16:14;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:15;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:16;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:17;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:18;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:19;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:20;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:21;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:22;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:23;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:24;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:16:25;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
