9876543210|789|ХМАО|Таграс|Петров А.В.|123-456789|2020-06-17 15:11:40|2020-06-17 14:59:24|2020-06-04 18:56:39
Время;Расход (турбина), м3/мин;Объем (турбина), м3;Расход э/м, м3/мин;Объем э/м, м3;Давление 1, кПа;Давление 2, атм;Давление затруба, атм;Температура, C;Плотность, кг/м3;Концентрация НД1, %;Объем НД1, л;Концентрация НД2, %;Объем НД2, л;Концентрация ДШ, %;Масса ДШ, кг;Расход НД1, л/ч;Расход НД2, л/ч;Расход ДШ, кг/ч;Этап;Метка
17.06.2020 15:11:41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:42;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1991126649|Опрессовка 21|False;
17.06.2020 15:11:43;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:44;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:45;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:46;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:47;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:48;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:49;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:50;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:51;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:52;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:53;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:54;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:55;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:56;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:57;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1991126649|Опрессовка 21|True;1241471778|Опрессовка 20|False;
17.06.2020 15:11:58;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:11:59;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:12:00;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1241471778|Опрессовка 20|True;229870413|Опрессовка 21|False;
17.06.2020 15:12:01;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:12:02;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:12:03;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:12:04;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:12:05;0;10;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
