9876543210|789|ХМАО|Таграс|Петров А.В.|123-456789|2020-06-17 15:30:01|2020-06-17 15:22:41|2020-06-17 15:17:16
Время;Расход (турбина), м3/мин;Объем (турбина), м3;Расход э/м, м3/мин;Объем э/м, м3;Давление 1, кПа;Давление 2, атм;Давление затруба, атм;Температура, C;Плотность, кг/м3;Концентрация НД1, %;Объем НД1, л;Концентрация НД2, %;Объем НД2, л;Концентрация ДШ, %;Масса ДШ, кг;Расход НД1, л/ч;Расход НД2, л/ч;Расход ДШ, кг/ч;Этап;Метка
17.06.2020 15:30:02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:20;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1863429230|Расход турб 5|True;810181961|Опрессовка 21|False;
17.06.2020 15:30:21;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:22;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:23;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;810181961|Опрессовка 21|True;218036987|Опрессовка 20|False;
17.06.2020 15:30:24;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:25;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:26;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:27;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:28;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:29;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:30;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:31;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:32;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:33;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:34;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:35;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:30:36;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
